trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
403,False,"{'a': 0.995, 'e': 3.97944764409262}",20,0,-114.33223438576935,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
404,False,"{'a': 0.995, 'e': 3.959550405872157}",30,0,-89.00852770250188,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
405,False,"{'a': 0.995, 'e': 3.9397526538427963}",25,0,-229.2704895948552,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
406,False,"{'a': 0.995, 'e': 3.9200538905735822}",25,0,-211.55869789755513,"{0: 9, 1: 5, 2: 8, 3: 0, 4: 3}",0
407,False,"{'a': 0.995, 'e': 3.900453621120714}",25,0,-220.1959456499988,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
408,False,"{'a': 0.995, 'e': 3.8809513530151105}",20,0,-135.69522669766155,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
409,False,"{'a': 0.995, 'e': 3.861546596250035}",25,0,-86.46685313629173,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
410,False,"{'a': 0.995, 'e': 3.8422388632687845}",20,0,-87.60759977762098,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
411,False,"{'a': 0.995, 'e': 3.8230276689524407}",25,0,-201.86991659181734,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
412,False,"{'a': 0.995, 'e': 3.8039125306076786}",25,0,-124.36326983637173,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
413,False,"{'a': 0.995, 'e': 3.78489296795464}",30,0,-171.06372427006914,"{0: 13, 1: 9, 2: 6, 3: 0, 4: 2}",0
414,False,"{'a': 0.995, 'e': 3.765968503114867}",35,0,-112.17198392079786,"{0: 22, 1: 4, 2: 8, 3: 0, 4: 1}",1
415,False,"{'a': 0.995, 'e': 3.7471386605992927}",20,0,-129.4806069128742,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
416,False,"{'a': 0.995, 'e': 3.7284029672962964}",20,0,-61.20067061711107,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
417,False,"{'a': 0.995, 'e': 3.7097609524598147}",30,0,-126.00230705248282,"{0: 20, 1: 5, 2: 2, 3: 1, 4: 2}",0
418,False,"{'a': 0.995, 'e': 3.6912121476975157}",20,6,-93.44061730197174,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
419,False,"{'a': 0.995, 'e': 3.672756086959028}",20,0,-58.48678900916641,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
